paper_id,gt_avg_score,est_zeroshot,est_fewshot
XtXa6hoNrU,3.5,5.154478960821287,8.105158244541867
P7KIGdgW8S,8.0,10.605682287032318,16.0
07xuZw59uB,3.0,8.858158660973388,7.2531576468872005
9NqC72m31m,6.5,7.138773942218725,7.138773942218725
EjIKerYk1O,2.33,4.178037454626774,3.229243161204869
cHy00K3Och,2.5,4.215102080126498,6.1251775358393274
3MDmM0rMPQ,3.0,7.285085476945865,7.285085476945865
z1td6fBKpG,5.75,8.82087119642412,6.048021596831181
jK5r1HBfym,4.0,4.085675987912499,4.085675987912499
tc90LV0yRL,8.67,8.955657143322544,7.34809240859297
xt9Bu66rqv,5.25,15.5,6.676008229529721
Ali45HfJqJ,5.75,6.22234021375707,3.2393083400959246
IC5RJvRoMp,7.5,7.258208114964109,7.972019994063182
C6a0Obrp3o,4.33,8.953071740456997,7.3262408956990885
tkqNDbukWW,5.5,15.333333333333332,8.845787806320311
TJo6aQb7mK,7.6,6.685225763828019,7.3113809802555965
L5NUDBdHqR,3.5,7.172826322324384,7.172826322324384
xkgfLXZ4e0,7.0,6.645228711119753,6.080369018249317
FE2e8664Sl,7.0,5.183256829125478,8.979448879065155
igZ5PlRB0t,3.0,4.071391832007406,4.5454653966065495
s90VIdza2K,6.0,9.03774911572432,7.372294783679786
mtJSMcF3ek,7.0,8.793994906422668,7.178971457249454
Q5VlpYRxGF,4.33,15.333333333333332,8.75581810360273
iIT02bAKzv,5.5,7.235100968616291,8.8608910350564
7yyAoyfVEC,2.5,7.496563698403029,16.0
icTZCUbtD6,6.2,8.935949856188625,7.321543573537752
CSZKElOtG5,4.25,8.8771734931173,15.5
gc8QAQfXv6,9.0,7.890048328771474,6.5855983267078795
L6IgkJvcgV,7.2,8.81387053939236,8.81387053939236
cADdVJYiIG,2.5,5.072448883401552,6.64501843948716
